% ARFF generated from csvs: anythinggoes,civilwar,dustnbones,estranged,itssoeasy,mrbrownstone,mymichelle,nighttrain,novemberrain,outtagetme,paradisecity,patience,rocketqueen,sinceidonthaveyou,sweetchildomine,thinkaboutyou,usedtoloveher,welcometothejungle,youcouldbemine,yourcrazy
@RELATION data
@ATTRIBUTE first {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE second {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE third {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE fourth {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE class {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}

@DATA
G,A,G,C,D5
A,G,C,D5,C5
G,C,D5,C5,D5
C,D5,C5,D5,C5
D5,C5,D5,C5,D5
C5,D5,C5,D5,C5
D5,C5,D5,C5,D5
C5,D5,C5,D5,C5
D5,C5,D5,C5,Bb
C5,D5,C5,Bb,G5
D5,C5,Bb,G5,G
C5,Bb,G5,G,C
Bb,G5,G,C,F9
G5,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,C
C,G,G,C,F9
G,G,C,F9,C
G,C,F9,C,G
C,F9,C,G,G
F9,C,G,G,C
C,G,G,C,F
G,G,C,F,C
G,C,F,C,G
C,G,A,D,C
G,A,D,C,G
A,D,C,G,A
D,C,G,A,D
C,G,A,D,C
G,A,D,C,G
A,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,C
G,D,D,C,G
D,D,C,G,A
D,C,G,A,D
C,G,A,D,D
G,A,D,D,D
A,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,A
D,C,G,A,D
C,G,A,D,D
G,A,D,D,D
A,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,D
G,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,D
G,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,A
D,C,G,A,D
C,G,A,D,D
G,A,D,D,D
A,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,A
D,C,G,A,D
C,G,A,D,D
G,A,D,D,D
A,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,D
G,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,D
G,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,D
G,D,D,D,D
D,D,D,D,C
D,D,D,C,G
D,D,C,G,C
D,C,G,C,Em
C,G,C,Em,C
G,C,Em,C,G
C,Em,C,G,D
Em,C,G,D,D
C,G,D,D,D
G,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,D
D,D,D,D,G
D,D,D,G,D
D,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
F#,F#,A,E,F#
F#,A,E,F#,B
A,E,F#,B,C#
E,F#,B,C#,E
F#,B,C#,E,F#
B,C#,E,F#,E
C#,E,F#,E,A
E,F#,E,A,B
F#,E,A,B,E
E,A,B,E,F#
A,B,E,F#,F#
B,E,F#,F#,E
E,F#,F#,E,A
F#,F#,E,A,B
F#,E,A,B,E
E,A,B,E,F#
A,B,E,F#,F#
B,E,F#,F#,A
E,F#,F#,A,E
F#,F#,A,E,F#
F#,A,E,F#,B
A,E,F#,B,C#
E,F#,B,C#,E
F#,B,C#,E,F#
B,C#,E,F#,E
C#,E,F#,E,A
E,F#,E,A,B
F#,E,A,B,E
E,A,B,E,F#
A,B,E,F#,F#
B,E,F#,F#,E
E,F#,F#,E,A
F#,F#,E,A,B
F#,E,A,B,E
E,A,B,E,F#
A,B,E,F#,A
B,E,F#,A,B
E,F#,A,B,C#
F#,A,B,C#,F#
A,B,C#,F#,E
B,C#,F#,E,A
C#,F#,E,A,B
F#,E,A,B,E
E,A,B,E,F#
A,B,E,F#,F#
B,E,F#,F#,E
E,F#,F#,E,A
F#,F#,E,A,B
F#,E,A,B,E
E,A,B,E,F#
A,B,E,F#,E
B,E,F#,E,C#m
E,F#,E,C#m,E
F#,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,E
B,E,C#m,E,B
E,C#m,E,B,E
C#m,E,B,E,C#m
E,B,E,C#m,A
B,E,C#m,A,G#m
E,C#m,A,G#m,E
G,Cm,D,G,Cm
Cm,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,Am
D,G,Cm,Am,D
G,Cm,Am,D,G
Cm,Am,D,G,Cm
Am,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,Am
D,G,Cm,Am,D
G,Cm,Am,D,D
Cm,Am,D,D,D
Am,D,D,D,Am
D,D,D,Am,G
D,D,Am,G,Am
D,Am,G,Am,G
Am,G,Am,G,Am
G,Am,G,Am,D
Am,G,Am,D,G
G,Am,D,G,Cm
Am,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,Am
D,G,Cm,Am,D
G,Cm,Am,D,G
Cm,Am,D,G,Cm
Am,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,D
D,G,Cm,D,G
G,Cm,D,G,Cm
Cm,D,G,Cm,Am
D,G,Cm,Am,D
G,Cm,Am,D,G
Cm,Am,D,G,Em
Am,D,G,Em,Am
D,G,Em,Am,D
G,Em,Am,D,G
Em,Am,D,G,Em
Am,D,G,Em,Am
D,G,Em,Am,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,D
C9,G,D,D,C9
G,D,D,C9,G
D,D,C9,G,D
D,C9,G,D,D
C9,G,D,D,C9
G,D,D,C9,G
D,D,C9,G,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,C9
C9,G,D,C9,G
G,D,C9,G,D
D,C9,G,D,Em
C9,G,D,Em,C
G,D,Em,C,Bm7
D,Em,C,Bm7,Am
Em,C,Bm7,Am,Em
C,Bm7,Am,Em,C
Bm7,Am,Em,C,Bm7
Am,Em,C,Bm7,Am
Em,C,Bm7,Am,Em
C,Bm7,Am,Em,G
Bm7,Am,Em,G,A
Am,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
A,C,D,Em,G
C,D,Em,G,A
D,Em,G,A,C
Em,G,A,C,D
G,A,C,D,Em
B,A,G,B,A
A,G,B,A,G
G,B,A,G,B
B,A,G,B,A
A,G,B,A,B
G,B,A,B,A
B,A,B,A,G
A,B,A,G,A
B,A,G,A,G
A,G,A,G,A
G,A,G,A,B
A,G,A,B,A
G,A,B,A,G
A,B,A,G,B
B,A,G,B,A
A,G,B,A,G
G,B,A,G,B
B,A,G,B,A
A,G,B,A,B
G,B,A,B,A
B,A,B,A,G
A,B,A,G,A
B,A,G,A,G
A,G,A,G,A
G,A,G,A,Bm11
A,G,A,Bm11,D9
G,A,Bm11,D9,G6
A,Bm11,D9,G6,Bm11
Bm11,D9,G6,Bm11,D9
D9,G6,Bm11,D9,G6
G6,Bm11,D9,G6,Bm11
Bm11,D9,G6,Bm11,D9
D9,G6,Bm11,D9,G6
G6,Bm11,D9,G6,Bm11
Bm11,D9,G6,Bm11,D9
D9,G6,Bm11,D9,G6
G6,Bm11,D9,G6,F#7
Bm11,D9,G6,F#7,G#
D9,G6,F#7,G#,B
G6,F#7,G#,B,C#
F#7,G#,B,C#,F#
G#,B,C#,F#,E
B,C#,F#,E,D
C#,F#,E,D,C#
F#,E,D,C#,F#m
E,D,C#,F#m,C#
D,C#,F#m,C#,F#m
C#,F#m,C#,F#m,C#
F#m,C#,F#m,C#,C#
C#,F#m,C#,C#,E
F#m,C#,C#,E,D
C#,C#,E,D,C#
C#,E,D,C#,E
E,D,C#,E,D
D,C#,E,D,C#
C#,E,D,C#,E
E,D,C#,E,D
D,C#,E,D,C#
C#,E,D,C#,E
E,D,C#,E,D
D,C#,E,D,C#
C#,E,D,C#,B
E,D,C#,B,A
D,C#,B,A,B
C#,B,A,B,A
B,A,B,A,G
A,B,A,G,A
B,A,G,A,G
A,G,A,G,A
G,A,G,A,Bm11
A,G,A,Bm11,D9
G,A,Bm11,D9,G6
A,Bm11,D9,G6,Bm11
Bm11,D9,G6,Bm11,D9
D9,G6,Bm11,D9,G6
G6,Bm11,D9,G6,Bm11
Bm11,D9,G6,Bm11,D9
D9,G6,Bm11,D9,G6
G6,Bm11,D9,G6,Bm11
Bm11,D9,G6,Bm11,D9
D9,G6,Bm11,D9,G6
G6,Bm11,D9,G6,D
Bm11,D9,G6,D,Bm
D9,G6,D,Bm,A
G6,D,Bm,A,Bm
D,Bm,A,Bm,A
Bm,A,Bm,A,Bm
A,Bm,A,Bm,A
Bm,A,Bm,A,G
A,Bm,A,G,A
Bm,A,G,A,D
A,G,A,D,A
G,A,D,A,Bm
A,D,A,Bm,A
D,A,Bm,A,Bm
A,Bm,A,Bm,A
Bm,A,Bm,A,Bm
A,Bm,A,Bm,A
Bm,A,Bm,A,G
A,Bm,A,G,A
Bm,A,G,A,Bm11
A,G,A,Bm11,Bm11/C#
G,A,Bm11,Bm11/C#,Bm11/D
A,Bm11,Bm11/C#,Bm11/D,Bm11/C#
Bm11,Bm11/C#,Bm11/D,Bm11/C#,Bm11
Bm11/C#,Bm11/D,Bm11/C#,Bm11,Bm
D,A,G,D,D
A,G,D,D,A
G,D,D,A,G
D,D,A,G,D
D,A,G,D,D
A,G,D,D,A
G,D,D,A,G
D,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,A
D,A,G,A,G
A,G,A,G,A
G,A,G,A,G
A,G,A,G,D
G,A,G,D,D
A,G,D,D,A
G,D,D,A,G
D,D,A,G,D
D,A,G,D,D
A,G,D,D,A
G,D,D,A,G
D,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,A
D,A,G,A,G
A,G,A,G,A
G,A,G,A,G
A,G,A,G,D
G,A,G,D,D
A,G,D,D,A
G,D,D,A,G
D,D,A,G,D
D,A,G,D,D
A,G,D,D,A
G,D,D,A,G
D,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,A
D,A,G,A,G
A,G,A,G,A
G,A,G,A,G
A,G,A,G,D
E,B,A,G,E
B,A,G,E,B
A,G,E,B,A
G,E,B,A,E
E,B,A,E,D
B,A,E,D,A
A,E,D,A,B
E,D,A,B,A
D,A,B,A,A
A,B,A,A,E
B,A,A,E,C
A,A,E,C,D
A,E,C,D,E
E,C,D,E,A
C,D,E,A,E
D,E,A,E,C
E,A,E,C,D
A,E,C,D,E
E,C,D,E,B
C,D,E,B,E
D,E,B,E,A
E,B,E,A,E
B,E,A,E,C
E,A,E,C,D
A,E,C,D,E
E,C,D,E,D
C,D,E,D,G
D,E,D,G,D
E,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,D
G,D,G,D,G
D,G,D,G,F
G,D,G,F,G
D,G,F,G,F
G,F,G,F,G
F,G,F,G,F
G,F,G,F,A
F,G,F,A,E
G,F,A,E,E7/9
F,A,E,E7/9,E
A,E,E7/9,E,E7/9
E,E7/9,E,E7/9,C#m
E7/9,E,E7/9,C#m,B
E,E7/9,C#m,B,C#m
E7/9,C#m,B,C#m,B
C#m,B,C#m,B,C#m
B,C#m,B,C#m,B
C#m,B,C#m,B,E
B,C#m,B,E,B
C#m,B,E,B,E
B,E,B,E,B
E,B,E,B,A
B,E,B,A,F#
E,B,A,F#,B
B,A,F#,B,E
A,F#,B,E,E
F#,B,E,E,F#
B,E,E,F#,F
E,E,F#,F,F#
E,F#,F,F#,G
F#,F,F#,G,A
F,F#,G,A,G#
F#,G,A,G#,A
G,A,G#,A,A#
A,G#,A,A#,C
G#,A,A#,C,D
A,A#,C,D,E
A#,C,D,E,C
C,D,E,C,D
D,E,C,D,E
E,C,D,E,C
C,D,E,C,D
D,E,C,D,E
E,C,D,E,C
C,D,E,C,D
D,E,C,D,E
E,C,D,E,D
C,D,E,D,Bb
D,E,D,Bb,A
E,D,Bb,A,G
D,Bb,A,G,E
Bb,A,G,E,A
A,G,E,A,G
G,E,A,G,E
E,A,G,E,E7/9
F#m,Em,F#m,Em,F#m
Em,F#m,Em,F#m,Em
F#m,Em,F#m,Em,F#m
Em,F#m,Em,F#m,E7/9
F#m,Em,F#m,E7/9,F#m
Em,F#m,E7/9,F#m,E7/9
F#m,E7/9,F#m,E7/9,E
E7/9,F#m,E7/9,E,F#m
F#m,E7/9,E,F#m,E
E7/9,E,F#m,E,F#m
E,F#m,E,F#m,F#m
F#m,E,F#m,F#m,E
E,F#m,F#m,E,F#m
F#m,F#m,E,F#m,E
F#m,E,F#m,E,F#m
E,F#m,E,F#m,A
F#m,E,F#m,A,B
E,F#m,A,B,F#m
F#m,A,B,F#m,A
A,B,F#m,A,B
B,F#m,A,B,F#m
F#m,A,B,F#m,A
A,B,F#m,A,B
B,F#m,A,B,F#m
F#m,A,B,F#m,E
A,B,F#m,E,F#m
B,F#m,E,F#m,F#m
F#m,E,F#m,F#m,E
E,F#m,F#m,E,F#m
F#m,F#m,E,F#m,E
F#m,E,F#m,E,F#m
E,F#m,E,F#m,A
F#m,E,F#m,A,B
E,F#m,A,B,F#m
F#m,A,B,F#m,A
A,B,F#m,A,B
B,F#m,A,B,F#m
F#m,A,B,F#m,A
A,B,F#m,A,B
B,F#m,A,B,C#m
F#m,A,B,C#m,F#m
A,B,C#m,F#m,E
B,C#m,F#m,E,F#m
C#m,F#m,E,F#m,E
F#m,E,F#m,E,F#m
E,F#m,E,F#m,E7/9
F#m,E,F#m,E7/9,F#m
E,F#m,E7/9,F#m,E7/9
F#m,E7/9,F#m,E7/9,G
E7/9,F#m,E7/9,G,F#
F#m,E7/9,G,F#,G
E7/9,G,F#,G,A
G,F#,G,A,D
F#,G,A,D,A
G,A,D,A,G
A,D,A,G,F#
D,A,G,F#,G
A,G,F#,G,B
G,F#,G,B,A
F#,G,B,A,G
G,B,A,G,F#
B,A,G,F#,D
A,G,F#,D,Bm
G,F#,D,Bm,D
F#,D,Bm,D,Bm
D,Bm,D,Bm,D
Bm,D,Bm,D,A
D,Bm,D,A,D
Bm,D,A,D,Bm
D,A,D,Bm,D
A,D,Bm,D,Bm
D,Bm,D,Bm,D
Bm,D,Bm,D,Bm
D,Bm,D,Bm,D
Bm,D,Bm,D,A
D,Bm,D,A,D
Bm,D,A,D,Bm
D,A,D,Bm,D
A,D,Bm,D,Bm
D,Bm,D,Bm,Bm
Bm,D,Bm,Bm,C#
D,Bm,Bm,C#,D
Bm,Bm,C#,D,C#
Bm,C#,D,C#,Bm
C#,D,C#,Bm,C#
D,C#,Bm,C#,D
C#,Bm,C#,D,C#
Bm,C#,D,C#,Bm
C#,D,C#,Bm,C#
D,C#,Bm,C#,D
C#,Bm,C#,D,C#
Bm,C#,D,C#,Bm
C#,D,C#,Bm,C#
D,C#,Bm,C#,D
C#,Bm,C#,D,A
Bm,C#,D,A,B
C#,D,A,B,F#m
D,A,B,F#m,A
A,B,F#m,A,B
B,F#m,A,B,F#m
F#m,A,B,F#m,A
A,B,F#m,A,B
B,F#m,A,B,F#m
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,D
D,A,E,D,C
A,E,D,C,A
E,D,C,A,D
D,C,A,D,A
C,A,D,A,E
A,D,A,E,D
D,A,E,D,D7
A,E,D,D7,E7/9
E,D,D7,E7/9,E
D,D7,E7/9,E,D#
D7,E7/9,E,D#,D
E7/9,E,D#,D,C
E,D#,D,C,G
D#,D,C,G,A
D,C,G,A,D
C,G,A,D,A
G,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,D
D,A,E,D,C
A,E,D,C,A
E,D,C,A,E
D,C,A,E,D
C,A,E,D,D7
A,E,D,D7,E
E,D,D7,E,G
D,D7,E,G,E
D7,E,G,E,D#
E,G,E,D#,D
G,E,D#,D,D
E,D#,D,D,G
D#,D,D,G,G#
D,D,G,G#,A
D,G,G#,A,C
G,G#,A,C,A
G#,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,D7
E,D#,D,D7,G
D#,D,D7,G,F#m
D,D7,G,F#m,E
D7,G,F#m,E,C
G,F#m,E,C,B
F#m,E,C,B,A
E,C,B,A,G
C,B,A,G,F#m7
B,A,G,F#m7,E
A,G,F#m7,E,C
G,F#m7,E,C,B
F#m7,E,C,B,A
E,C,B,A,G
C,B,A,G,F#m7
B,A,G,F#m7,E
A,G,F#m7,E,C
G,F#m7,E,C,B
F#m7,E,C,B,A
E,C,B,A,G
C,B,A,G,F#m
B,A,G,F#m,F
A,G,F#m,F,E
G,F#m,F,E,B
F#m,F,E,B,E
F,E,B,E,B
E,B,E,B,F#
B,E,B,F#,B
E,B,F#,B,E
B,F#,B,E,B
F#,B,E,B,F#
B,E,B,F#,B
E,B,F#,B,E
B,F#,B,E,B
F#,B,E,B,F#
B,E,B,F#,B
E,B,F#,B,E
B,F#,B,E,B
F#,B,E,B,F#
B,E,B,F#,A
E,B,F#,A,D
B,F#,A,D,A
F#,A,D,A,E
A,D,A,E,A
D,A,E,A,D
A,E,A,D,A
E,A,D,A,E
A,D,A,E,D
D,A,E,D,C
A,E,D,C,A
E,D,C,A,D
D,C,A,D,A
C,A,D,A,D
A,D,A,D,D7
D,A,D,D7,E
A,D,D7,E,G
D,D7,E,G,E
D7,E,G,E,D#
E,G,E,D#,D
G,E,D#,D,D
E,D#,D,D,G
D#,D,D,G,G#
D,D,G,G#,A
D,G,G#,A,C
G,G#,A,C,A
G#,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
D,A,C,A,E
A,C,A,E,D#
C,A,E,D#,D
A,E,D#,D,A
E,D#,D,A,C
D#,D,A,C,A
